svn_revision	git_commit	author_date	author	svn_url	svn_uuid
36	7d5178a4ee9e96c3cd5ada9418e0c366a9032637	2010-06-19T09:08:55Z	Hajoland	https://svn.code.sf.net/p/estab/svn/eStab/branch/0.9.20_buxfix	595569ee-1d76-4581-98bb-cbe32a4b19d9
37	2c7fe7293af8369b6fc530b761cddddd47250070	2010-06-20T15:48:06Z	Hajoland	https://svn.code.sf.net/p/estab/svn/eStab/branch/0.9.20_buxfix	595569ee-1d76-4581-98bb-cbe32a4b19d9
38	58e51b38a7faf43a02dfe3f1afabdff4b1e70724	2010-06-20T18:35:49Z	Hajoland	https://svn.code.sf.net/p/estab/svn/eStab/branch/0.9.20_buxfix	595569ee-1d76-4581-98bb-cbe32a4b19d9
39	92ff02f323eaaa2835a32c7d2d3a97cc9bca4f7b	2010-06-21T12:48:19Z	lasasal	https://svn.code.sf.net/p/estab/svn/eStab/branch/0.9.20_ticket20	595569ee-1d76-4581-98bb-cbe32a4b19d9
40	d3419aab01e97b5bb4f0f874684a77d519d75acc	2010-06-22T12:18:51Z	lasasal	https://svn.code.sf.net/p/estab/svn/eStab/branch/0.9.20_ticket20	595569ee-1d76-4581-98bb-cbe32a4b19d9
41	4d1faa87da7cdedcc7a08f6237b46ed1c3645f0f	2010-06-25T19:25:29Z	lasasal	https://svn.code.sf.net/p/estab/svn/eStab/branch/0.9.20_ticket20	595569ee-1d76-4581-98bb-cbe32a4b19d9
42	fa688feaf2395602358cb86a599e7dd228135ca4	2010-06-26T20:32:28Z	lasasal	https://svn.code.sf.net/p/estab/svn/eStab/branch/0.9.20_ticket20	595569ee-1d76-4581-98bb-cbe32a4b19d9
43	2e43adae35c54401d9943dd7f4d35e4ddabfded3	2010-06-26T20:45:36Z	lasasal	https://svn.code.sf.net/p/estab/svn/eStab/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
44	895125133a93c96687e886447cf78beded9b5fb0	2010-06-29T20:17:12Z	Hajoland	https://svn.code.sf.net/p/estab/svn/eStab/branch/0.9.20_buxfix	595569ee-1d76-4581-98bb-cbe32a4b19d9
45	38d64bcfce7e95c1b566c12e1c7e03e6e5474842	2010-07-04T09:05:41Z	Hajoland	https://svn.code.sf.net/p/estab/svn/eStab/branch/0.9.20_buxfix	595569ee-1d76-4581-98bb-cbe32a4b19d9
49	fc8392ba480f2db849291207e02d38b577153363	2010-08-26T14:40:33Z	Hajoland	https://svn.code.sf.net/p/estab/svn/eStab/branch/0.9.20_buxfix	595569ee-1d76-4581-98bb-cbe32a4b19d9
50	acbd24cacae845adc4ec0b16ceb99f50c43b50a6	2010-09-26T16:13:50Z	Hajoland	https://svn.code.sf.net/p/estab/svn/eStab/branch/0.9.20_kto_usr_fkt	595569ee-1d76-4581-98bb-cbe32a4b19d9
51	465b8bf411b3ce239536442e1a35ca6a963f9bd9	2010-10-21T14:32:49Z	Hajoland	https://svn.code.sf.net/p/estab/svn/eStab/branch/0.9.20_buxfix	595569ee-1d76-4581-98bb-cbe32a4b19d9
52	51d746a87b1ad1a497400f3adc3d1d2e5794bc3b	2010-10-21T16:11:28Z	Hajoland	https://svn.code.sf.net/p/estab/svn/eStab/branch/0.9.20_buxfix	595569ee-1d76-4581-98bb-cbe32a4b19d9
53	a08214904cb03fc30d4e29caa8ca402b13c9d19f	2010-10-21T16:44:15Z	Hajoland	https://svn.code.sf.net/p/estab/svn/eStab/branch/0.9.20_buxfix	595569ee-1d76-4581-98bb-cbe32a4b19d9
54	419ba9350e79bad617b4dae438876edf01a450d3	2010-10-29T19:39:54Z	Hajoland	https://svn.code.sf.net/p/estab/svn/eStab/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
55	74d45366694441d3c6ddba60de0c9a2d7d6eeea0	2010-10-29T19:58:15Z	Hajoland	https://svn.code.sf.net/p/estab/svn/eStab/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
56	af030a75aa12b46326e5fea18c6a331afd381c02	2010-12-12T19:33:08Z	Hajoland	https://svn.code.sf.net/p/estab/svn/eStab/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
57	43cfefe2f8025a1369e1aa0c9266b0f12d5f9273	2010-12-12T21:08:17Z	Hajoland	https://svn.code.sf.net/p/estab/svn/eStab/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
58	73d65d5ccb0caa238f386fd462a21aac3b2fd607	2010-12-17T14:54:01Z	Hajoland	https://svn.code.sf.net/p/estab/svn/eStab/branch/0.9.20_ticket20	595569ee-1d76-4581-98bb-cbe32a4b19d9
59	9673fd1902e294f041a6176e6fdf1cc93d134b52	2010-12-17T15:20:29Z	Hajoland	https://svn.code.sf.net/p/estab/svn/eStab/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
60	3a9b7fe60989f6fbcd229d0c0cc04fd4ee6e8e05	2010-12-17T20:30:31Z	Hajoland	https://svn.code.sf.net/p/estab/svn/eStab/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
